,word,tf_idf,sponsor_id
0,bifia program,0.192886005037572,
1,bifia,0.192886005037572,
2,project,0.17757490053814193,
3,secured loan,0.14287590491188082,
4,assistant secretary,0.1294623905681643,
5,assistant,0.11271380473453932,
6,hydrogen,0.10557276719867978,
7,line credit,0.09678690332740314,
8,obligor,0.09647592488082851,
9,credit,0.08506020406661798,
10,alabama farmers federation,0.3779973004118875,A000055
11,farmers federation,0.3779973004118875,A000055
12,alabama farmers,0.3779973004118875,A000055
13,alabama,0.2803972096935397,A000055
14,farmers,0.26500935314224666,A000055
15,federation,0.13549309891016312,A000055
16,farm forestry,0.1330587123446478,A000055
17,state alabama,0.12328499745223849,A000055
18,forestry families,0.1030901728396057,A000055
19,farm forestry families,0.1030901728396057,A000055
20,depository,0.13717691171537152,A000148
21,depository institutions,0.11917803025545903,A000148
22,federal banking regulators,0.10565738056458503,A000148
23,banking regulators,0.10565738056458503,A000148
24,federal banking,0.07945202017030602,A000148
25,banking,0.06572998455096479,A000148
26,domestic financial,0.06435322775578335,A000148
27,vaccines,0.06195137794185877,A000148
28,regulators,0.060266329842019406,A000148
29,primary money laundering,0.059441015431567545,A000148
30,land,0.30322903293230524,A000369
31,wilderness,0.2573597196025893,A000369
32,federal land,0.14913271902066572,A000369
33,secretary navy,0.1476262673498973,A000369
34,fallon,0.13295056778127903,A000369
35,county,0.12500464978168016,A000369
36,nevada,0.11619197837948554,A000369
37,navy,0.10332030164627065,A000369
38,map,0.08812079730845268,A000369
39,withdrawal lands,0.08769080002595002,A000369
40,consumer,0.19509573437077024,A000370
41,consumer reporting,0.1385374411987627,A000370
42,black,0.13362324408096823,A000370
43,consumer reporting agency,0.13027953813219806,A000370
44,teacher,0.12436998130646551,A000370
45,reporting agency,0.1228208373867364,A000370
46,campus facilities,0.12124070368590908,A000370
47,maternal,0.11617351499858335,A000370
48,black women,0.09717090204375245,A000370
49,eligible partnership,0.08862977679329286,A000370
50,legal immigration,0.13216110779377366,A000371
51,uscis,0.12114768214429252,A000371
52,online tool,0.11051232288350511,A000371
